term_id,term
21-prefLabel,Universities and colleges
22-prefLabel,Activists in holocaust memorial archives
23-prefLabel,People
24-prefLabel,Activists in justice against criminals
25-prefLabel,Trials
26-prefLabel,Nazi hunters
27-prefLabel,Activists in politics
28-prefLabel,Politics
29-prefLabel,Antifascists
30-prefLabel,Communists
31-prefLabel,Nationalists
32-altLabel,Statesmen
32-altLabel,Statespersons
32-prefLabel,Politicians and statespersons
33-altLabel,Social Democrats
33-prefLabel,Socialists
34-prefLabel,Zionists
35-prefLabel,Activities on behalf of peace
36-prefLabel,Pacifism
37-prefLabel,Activities to prevent deportation
38-prefLabel,Activities to prevent the persecution of jews
39-prefLabel,Resistance
40-prefLabel,Activitists in cultural life
41-prefLabel,Actors
42-prefLabel,Artists
43-prefLabel,Jewish activitists in cultural life
44-prefLabel,Musicians
45-altLabel,Poets and writers
45-altLabel,Poets. Writers
45-prefLabel,Writers and poets
46-prefLabel,Songs
47-prefLabel,Plays
48-prefLabel,Jewish actors
49-prefLabel,Acts of retaliation
50-prefLabel,"Occupation, oppression, discrimination and persecution"
51-prefLabel,Hostages
52-prefLabel,Adaptation to persecution
53-prefLabel,Responses to occupation and discrimination
54-prefLabel,Adopted children
55-prefLabel,Children
56-prefLabel,Adoption
57-prefLabel,Families
58-prefLabel,Aerial defence
59-prefLabel,Armed forces
60-prefLabel,Shelters
61-prefLabel,Agriculture
62-prefLabel,Economics
63-prefLabel,Aid refusal
64-prefLabel,"Aid, welfare, rescue"
65-prefLabel,"Aid, health and rescue organisations"
66-altLabel,Rescue and help
66-prefLabel,Help and rescue
67-prefLabel,Organisations
68-altLabel,"Jewish aid, welfare and rescue organizations"
68-prefLabel,"Jewish aid, health and rescue organisations"
69-prefLabel,Welfare institutions
70-altLabel,DP camps
70-prefLabel,Displaced persons camps
71-prefLabel,Guardianship
72-altLabel,Medical care
72-prefLabel,Healthcare
73-altLabel,International organizations
73-prefLabel,International organisations
74-prefLabel,Vocational training
75-prefLabel,Welfare
76-prefLabel,Air force
77-prefLabel,Military units
78-altLabel,Air raids
78-prefLabel,Air-raids
79-prefLabel,Airfields (forced labour in)
81-prefLabel,Daily life
82-prefLabel,Forced labourers
84-prefLabel,Aliya
85-prefLabel,Zionism
86-prefLabel,Jewish emigration
87-prefLabel,Jews and Jewish life
88-prefLabel,Aliya certificates
89-prefLabel,Aliya organisations
90-prefLabel,Immigrant ships
91-altLabel,Zionist organizations
91-prefLabel,Zionist organisations
92-prefLabel,Hachsharot
93-prefLabel,Allied forces
94-prefLabel,Allies
95-prefLabel,International politics
96-prefLabel,Allocations
97-prefLabel,Economic policies
98-prefLabel,Government
99-prefLabel,Animals
100-prefLabel,Announcements
102-prefLabel,Anti-allied propaganda
103-prefLabel,Nazi propaganda
104-prefLabel,Propaganda
105-altLabel,Antifascism
105-prefLabel,Anti-fascism
106-prefLabel,Fascism
107-prefLabel,Ideologies
109-prefLabel,Anti-german boycotts
110-prefLabel,Anti-Nazi activity
111-prefLabel,Boycotts
112-prefLabel,Anti-Jewish boycotts
113-prefLabel,Antisemitic activities
114-prefLabel,Anti-Jewish economic measures
115-altLabel,Expropriation
115-prefLabel,Confiscation
116-prefLabel,Anti-Jewish measures
117-altLabel,Aryanization
117-prefLabel,Aryanisation
118-prefLabel,Anti-Jewish legislation
119-prefLabel,Geltungsjuden
120-altLabel,Hybrids
120-prefLabel,Mischlinge
121-prefLabel,Mixed marriages
122-prefLabel,Racial laws
123-prefLabel,Anti-Jewish orders and decrees
124-prefLabel,Arierparagraph
125-prefLabel,Discrimination of jews
126-prefLabel,Judenpolitik
127-prefLabel,Exclusion of jews from the military
128-altLabel,Armband
128-prefLabel,Marking of jews
129-prefLabel,Anti-Jewish signs
130-prefLabel,Anti-Nazism
131-prefLabel,Anti-Nazi demonstrations
132-prefLabel,Anti-Nazi writings
133-prefLabel,Demonstrations
134-prefLabel,National socialism
135-prefLabel,Anti-partisan operations
136-prefLabel,Axis
137-prefLabel,Antisemitism
138-prefLabel,Antisemitic press
139-altLabel,Propaganda - antisemitic
139-prefLabel,Antisemitic propaganda
140-prefLabel,"Antisemitic speeches, threats and declarations"
141-altLabel,Blood accusation
141-prefLabel,Blood libel
142-prefLabel,Desecration of Jewish religious texts and objects
143-altLabel,Endloesung der Judenfrage
143-altLabel,Endlösung der Judenfrage
143-prefLabel,Final solution of the Jewish question
144-altLabel,Desecration of cemeteries
144-altLabel,Desecration of graves
144-prefLabel,Grave desecration
145-prefLabel,Humiliation of jews
146-prefLabel,Violent attacks on jews
147-prefLabel,Antisemitic members of parliament
148-altLabel,Antisemitic organizations
148-prefLabel,Antisemitic organisations
149-prefLabel,Members of parliament
151-prefLabel,Press
153-prefLabel,"Antisemitism, racism, facism, and national socialism"
154-altLabel,Anti Judaism
154-prefLabel,Religious antisemitism
155-prefLabel,The Jewish question
156-prefLabel,Racism
158-prefLabel,Arbeitseinsatz
159-altLabel,Forced labor
159-altLabel,Slave labour
159-prefLabel,Forced labour
160-prefLabel,Nazi occupied territory
161-altLabel,Appell
161-prefLabel,Roll calls
162-altLabel,Labor commando
162-prefLabel,Arbeitskommando
163-prefLabel,Aussenkommando
164-prefLabel,Foreign workers
168-prefLabel,Architecture
169-prefLabel,Memorial sites
170-prefLabel,Arts
171-prefLabel,Archives
172-prefLabel,Civil administration
173-prefLabel,Research
174-prefLabel,Historical archives
175-altLabel,Proof of Aryan origin
175-prefLabel,Ariernachweis
176-prefLabel,Sippenforschung
177-prefLabel,Examination of aryan origin
180-prefLabel,Soldiers
181-prefLabel,Military
182-prefLabel,State functions
183-prefLabel,Civil defence
184-prefLabel,Field courts
185-prefLabel,Insignia
186-altLabel,Medals of Honor
186-prefLabel,Medals of honour
187-altLabel,Militaerbefehlshaber
187-prefLabel,Militärbefehlshaber
188-prefLabel,Military buildings and installations
189-prefLabel,Military government
190-prefLabel,Military leaders
191-prefLabel,Military orders
192-prefLabel,Military service
193-altLabel,POW camps
193-prefLabel,Prisoner of war camps
194-prefLabel,Uniforms
195-prefLabel,Wars
196-prefLabel,Armed resistance
197-prefLabel,Armistice
